"","czone","Housing14Total","Housing24Total","Housing34Total","HousingCh_1424","HousingCh_2434","HousingChPct_1424","HousingChPct_2434","czonename"
"1","36600",40147,45120,47999,4973,2879,0.11,0.06,"Redding, CA Metro Red Bluff Micro, CA Micro "
"2","36700",36396,38046,38228,1650,182,0.043,0.005,"Eureka-Arcata-Fortuna, CA Micro "
"3","37000",179807,184864,187951,5057,3087,0.027,0.016,"Merced, Modesto Metro PLUS"
"4","37100",180928,187694,192552,6766,4858,0.036,0.025,"Bakersfield, CA Metro "
"5","37200",141023,158219,170031,17196,11812,0.109,0.069,"Fresno, CA Metro PLUS"
"6","37300",50826,57999,63615,7173,5616,0.124,0.088,"Yuba City-Marysville, CA PLUS "
"7","37400",747818,763589,773926,15771,10337,0.021,0.013,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"8","37500",579808,630555,660895,50747,30340,0.08,0.046,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"9","37700",135800,149255,154976,13455,5721,0.09,0.037,"Santa Rosa-Petaluma, CA Metro "
"10","37800",1466526,1501560,1523973,35034,22413,0.023,0.015,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"11","38000",828001,869797,897938,41796,28141,0.048,0.031,"San Diego-Carlsbad-San Marcos, CA Metro "
"12","38100",33927,39763,43152,5836,3389,0.147,0.079,"Yuma, AZ Metro El Centro Metro"
"13","38200",171757,191747,205133,19990,13386,0.104,0.065,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"14","38300",4594695,4630876,4656736,36181,25860,0.008,0.006,"Los Angeles-Long Beach-Glendale, CA Metro Division"
